,user_name,url,path,label,label_name
0,saryunchik06,https://scontent-hel3-1.cdninstagram.com/v/t50.2886-16/120952954_391083202286721_2147467396393499269_n.mp4?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=DgNNyWx0FFgAX9C3vWX&oe=5FB5D03E&oh=56b76bd490dc8ea6ac5f809e76f64e73,/home/ubuntu/konst/data/video_non_personal_mod/0.mp4,1,approved
1,saryunchik06,https://scontent-hel3-1.cdninstagram.com/v/t50.2886-16/119028284_2711356462517527_1571404310105024656_n.mp4?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=XMwPAIApU6wAX-JbKv3&oe=5FB61BC1&oh=e74eab17c612e4db0a895507f078651c,/home/ubuntu/konst/data/video_non_personal_mod/1.mp4,1,approved
2,multixogary,https://instagram.fhel3-1.fna.fbcdn.net/v/t50.2886-16/82834887_112811410257184_7078503193895380380_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fhel3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=LNC6YT3D2J4AX-mcUTl&vs=17882931025479070_3757839540&_nc_vs=HBksFQAYJEdNZjE3d1FnOVFqMG1XWUFBSndsbXIwbTVUdGlia1lMQUFBRhUAAsgBABUAGCRHQVcwLXdRb0NzQnY2WG9BQUtRbWVOaGlXRDhuYmtZTEFBQUYVAgLIAQAoABgAGwAVAAAmvJGi5cibxD8VAigCQzMsF0AmiDEm6XjVGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHXqBwA%3D&oe=5FB5F9A5&oh=39ac9ba818bc0d3ee1e2b2fc507b0cdc,/home/ubuntu/konst/data/video_non_personal_mod/2.mp4,0,ban
3,crystaldts,https://instagram.fhel3-1.fna.fbcdn.net/v/t50.2886-16/122925667_129770418575312_4580148142660798936_n.mp4?_nc_ht=instagram.fhel3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=vX9kx3YM_h8AX_Wwv_b&oe=5FB5CBD4&oh=0a5a2b728d2efd5e51c96e584f5ecd6a,/home/ubuntu/konst/data/video_non_personal_mod/3.mp4,0,ban
4,crystaldts,https://instagram.fhel3-1.fna.fbcdn.net/v/t50.2886-16/123326382_1269382090113534_899675575074911892_n.mp4?_nc_ht=instagram.fhel3-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=-vr-CzD8Jv8AX84U-GV&oe=5FB5BA46&oh=97e24f81c10a8349511187da72cba6fd,/home/ubuntu/konst/data/video_non_personal_mod/4.mp4,0,ban
5,crystaldts,https://scontent-hel3-1.cdninstagram.com/v/t50.2886-16/123174781_2679894728993471_181013568159269381_n.mp4?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=t1XSIsWTEvsAX8nQTRP&oe=5FB5C571&oh=b3612fd2a6e0f3461274fea6a1a399a3,/home/ubuntu/konst/data/video_non_personal_mod/5.mp4,0,ban
6,in_the_world_of_movie,https://scontent-hel3-1.cdninstagram.com/v/t50.2886-16/125513377_2841979949462801_52236162367351402_n.mp4?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=MA_Uyn2fU7oAX-J-ZgM&oe=5FB5BAF1&oh=7a36bd03be15d11ab5ee63ca1408b9cf,/home/ubuntu/konst/data/video_non_personal_mod/6.mp4,0,ban
7,in_the_world_of_movie,https://instagram.fhel6-1.fna.fbcdn.net/v/t50.2886-16/119917490_828954087640178_9036709488030974614_n.mp4?_nc_ht=instagram.fhel6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=jDmYsSQxIKgAX87dN4v&oe=5FB62330&oh=2daf4cfd3ce777b9342ab774dc10b358,/home/ubuntu/konst/data/video_non_personal_mod/7.mp4,0,ban
8,in_the_world_of_movie,https://instagram.fhel6-1.fna.fbcdn.net/v/t50.2886-16/119734180_757049815096191_939655878049205506_n.mp4?_nc_ht=instagram.fhel6-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=sP7jvwEjx0IAX-CtFVL&oe=5FB623E7&oh=f48b51452c46bd3d9d8aff440f2a8618,/home/ubuntu/konst/data/video_non_personal_mod/8.mp4,0,ban
9,manikur_adler,https://scontent-hel3-1.cdninstagram.com/v/t50.2886-16/125183589_407714186910581_3917042624716221609_n.mp4?_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=fMm8yL2anXwAX-oeLp0&oe=5FB5CF62&oh=1a6b96ff7ef4baf7b24015e6cb343a17,/home/ubuntu/konst/data/video_non_personal_mod/9.mp4,0,ban
