,path,label,path_old
0,home/ubuntu/konst/data/video_non_personal/0.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2493.mp4
1,home/ubuntu/konst/data/video_non_personal/1.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/383.mp4
2,home/ubuntu/konst/data/video_non_personal/2.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/782.mp4
3,home/ubuntu/konst/data/video_non_personal/3.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2658.mp4
4,home/ubuntu/konst/data/video_non_personal/4.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2062.mp4
5,home/ubuntu/konst/data/video_non_personal/5.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2154.mp4
6,home/ubuntu/konst/data/video_non_personal/6.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2377.mp4
7,home/ubuntu/konst/data/video_non_personal/7.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2067.mp4
8,home/ubuntu/konst/data/video_non_personal/8.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/906.mp4
9,home/ubuntu/konst/data/video_non_personal/9.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/1315.mp4
10,home/ubuntu/konst/data/video_non_personal/10.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3173.mp4
11,home/ubuntu/konst/data/video_non_personal/11.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/1383.mp4
12,home/ubuntu/konst/data/video_non_personal/12.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/698.mp4
13,home/ubuntu/konst/data/video_non_personal/13.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2505.mp4
14,home/ubuntu/konst/data/video_non_personal/14.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/311.mp4
15,home/ubuntu/konst/data/video_non_personal/15.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3714.mp4
16,home/ubuntu/konst/data/video_non_personal/16.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2987.mp4
17,home/ubuntu/konst/data/video_non_personal/17.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/66.mp4
18,home/ubuntu/konst/data/video_non_personal/18.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/505.mp4
19,home/ubuntu/konst/data/video_non_personal/19.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3825.mp4
20,home/ubuntu/konst/data/video_non_personal/20.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/777.mp4
21,home/ubuntu/konst/data/video_non_personal/21.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2785.mp4
22,home/ubuntu/konst/data/video_non_personal/22.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3584.mp4
23,home/ubuntu/konst/data/video_non_personal/23.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/1795.mp4
24,home/ubuntu/konst/data/video_non_personal/24.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2077.mp4
25,home/ubuntu/konst/data/video_non_personal/25.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2133.mp4
26,home/ubuntu/konst/data/video_non_personal/26.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2420.mp4
27,home/ubuntu/konst/data/video_non_personal/27.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/1357.mp4
28,home/ubuntu/konst/data/video_non_personal/28.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3207.mp4
29,home/ubuntu/konst/data/video_non_personal/29.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3301.mp4
30,home/ubuntu/konst/data/video_non_personal/30.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3364.mp4
31,home/ubuntu/konst/data/video_non_personal/31.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/81.mp4
32,home/ubuntu/konst/data/video_non_personal/32.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/1457.mp4
33,home/ubuntu/konst/data/video_non_personal/33.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3085.mp4
34,home/ubuntu/konst/data/video_non_personal/34.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/3664.mp4
35,home/ubuntu/konst/data/video_non_personal/35.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/2075.mp4
36,home/ubuntu/konst/data/video_non_personal/36.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/798.mp4
37,home/ubuntu/konst/data/video_non_personal/37.mp4,0.0,/home/ubuntu/konst/data/video_non_personal/0/1497.mp4
